GDEKT;GDENR;GDENAME;Version;Link_Dok_RIS;Link_Dok_Present;downloadedPdfDocumentValid;MunicipalityExists;LinkValid;MetaDataDateEqual;MetaDataOriginal;MetaDataDownloadedFile;HashEqual;CrawledLink;CrawledLinkSameAsRISLink;;;
ZH;196;Mönchaltorf;;https://oerebdocs.zh.ch/getDoc?docid=5981;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=5981;True;;;
ZH;197;Schwerzenbach;;https://oerebdocs.zh.ch/getDoc?docid=5048;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=5048;True;;;
ZH;198;Uster;;https://oerebdocs.zh.ch/getDoc?docid=9309;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=9309;True;;;
ZH;199;Volketswil;;https://oerebdocs.zh.ch/getDoc?docid=2045;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=2045;True;;;
ZH;200;Wangen-Brüttisellen;;https://oerebdocs.zh.ch/getDoc?docid=2147;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=2147;True;;;
ZH;211;Altikon;;https://oerebdocs.zh.ch/getDoc?docid=11879;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=11879;True;;;
ZH;213;Brütten;;https://oerebdocs.zh.ch/getDoc?docid=11133;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=11133;True;;;
ZH;214;Dägerlen;;https://oerebdocs.zh.ch/getDoc?docid=11876;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=11876;True;;;
ZH;215;Dättlikon;;https://oerebdocs.zh.ch/getDoc?docid=8241;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=8241;True;;;
ZH;216;Dinhard;;https://oerebdocs.zh.ch/getDoc?docid=12394;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=12394;True;;;
